"Datum";"Zeit";"Kurszusatz";"Kurs";"Volumen"
"19.03.2019";"16:32:35";"";"23,5350";"48"
"19.03.2019";"16:05:10";"";"23,5450";"80"
"19.03.2019";"15:01:11";"";"23,6100";"187"
"19.03.2019";"15:01:06";"";"23,6100";"187"
"19.03.2019";"15:01:01";"";"23,6150";"187"
"19.03.2019";"14:34:12";"";"23,6000";"523"
"19.03.2019";"14:30:37";"";"23,6150";"223"
"19.03.2019";"14:01:15";"";"23,6150";"2"
"19.03.2019";"13:47:16";"";"23,6200";"1"
"19.03.2019";"13:41:16";"";"23,6100";"187"
"19.03.2019";"13:31:30";"";"23,6100";"187"
"19.03.2019";"13:30:57";"";"23,6150";"187"
"19.03.2019";"13:30:37";"";"23,6150";"187"
"19.03.2019";"13:30:36";"";"23,6150";"187"
"19.03.2019";"13:28:36";"";"23,6300";"187"
"19.03.2019";"13:28:30";"";"23,6300";"187"
"19.03.2019";"13:28:25";"";"23,6300";"187"
"19.03.2019";"13:12:24";"";"23,6450";"0"
"19.03.2019";"12:36:02";"";"23,6300";"52"
"19.03.2019";"12:20:41";"";"23,6250";"20"
"19.03.2019";"12:18:13";"";"23,6300";"90"
"19.03.2019";"12:07:10";"";"23,6300";"1.771"
"19.03.2019";"12:07:10";"";"23,6300";"187"
"19.03.2019";"11:52:33";"";"23,6400";"337"
"19.03.2019";"11:33:11";"";"23,6200";"46"
"19.03.2019";"09:55:57";"";"23,6200";"187"
"19.03.2019";"09:36:45";"";"23,6150";"187"
"19.03.2019";"09:04:25";"";"23,6450";"2.500"
"19.03.2019";"09:04:24";"";"23,6450";"0"
"18.03.2019";"17:36:24";"";"23,5550";"0"
"18.03.2019";"17:20:00";"";"23,5550";"1.239"
"18.03.2019";"17:18:52";"";"23,5400";"470"
"18.03.2019";"17:15:28";"";"23,5600";"200"
"18.03.2019";"17:08:26";"";"23,5600";"187"
"18.03.2019";"16:51:38";"";"23,5800";"22"
"18.03.2019";"16:51:30";"";"23,5850";"1.897"
"18.03.2019";"16:50:59";"";"23,5850";"1.897"
"18.03.2019";"16:29:47";"";"23,5700";"25"
"18.03.2019";"16:29:47";"";"23,5750";"897"
"18.03.2019";"16:29:47";"";"23,5750";"1.000"
"18.03.2019";"16:28:33";"";"23,5750";"1.897"
"18.03.2019";"16:23:35";"";"23,6000";"431"
"18.03.2019";"16:23:35";"";"23,6050";"1.897"
"18.03.2019";"16:23:04";"";"23,6100";"125"
"18.03.2019";"16:23:04";"";"23,6150";"1.897"
"18.03.2019";"16:08:43";"";"23,6300";"1.897"
"18.03.2019";"16:06:03";"";"23,6300";"1.897"
"18.03.2019";"16:05:32";"";"23,6300";"1.897"
"18.03.2019";"15:48:39";"";"23,6700";"40"
"18.03.2019";"15:36:08";"";"23,6450";"1"
"18.03.2019";"14:49:28";"";"23,6700";"913"
"18.03.2019";"14:49:28";"";"23,6750";"1.897"
"18.03.2019";"14:48:29";"";"23,6750";"1.897"
"18.03.2019";"14:45:08";"";"23,6750";"1.897"
"18.03.2019";"14:33:17";"";"23,6300";"1.662"
"18.03.2019";"14:24:24";"";"23,6400";"220"
"18.03.2019";"14:22:50";"";"23,6350";"1.662"
"18.03.2019";"14:22:50";"";"23,6400";"1.897"
"18.03.2019";"13:12:28";"";"23,6250";"0"
"18.03.2019";"13:09:56";"";"23,6350";"203"
"18.03.2019";"13:09:56";"";"23,6350";"597"
"18.03.2019";"12:17:09";"";"23,6300";"212"
"18.03.2019";"12:03:42";"";"23,6100";"278"
"18.03.2019";"11:21:19";"";"23,6050";"1.897"
"18.03.2019";"11:19:13";"";"23,6300";"361"
"18.03.2019";"11:19:02";"";"23,6200";"1.487"
"18.03.2019";"11:13:24";"";"23,6200";"150"
"18.03.2019";"11:13:24";"";"23,6250";"410"
"18.03.2019";"11:13:24";"";"23,6250";"1.487"
"18.03.2019";"11:13:23";"";"23,6250";"1.487"
"18.03.2019";"11:13:23";"";"23,6200";"1.487"
"18.03.2019";"10:46:46";"";"23,6200";"100"
"18.03.2019";"10:29:05";"";"23,6300";"3.251"
"18.03.2019";"10:29:05";"";"23,6250";"4.300"
"18.03.2019";"10:29:05";"";"23,6200";"762"
"18.03.2019";"10:29:05";"";"23,6150";"187"
"18.03.2019";"10:00:13";"";"23,6050";"171"
"18.03.2019";"09:12:00";"";"23,6250";"33"
"18.03.2019";"09:10:15";"";"23,6250";"167"
"18.03.2019";"09:04:26";"";"23,6450";"1.202"
"18.03.2019";"09:04:25";"";"23,6450";"0"
"15.03.2019";"17:36:16";"";"23,7250";"1.150"
"15.03.2019";"17:20:00";"";"23,6650";"682"
"15.03.2019";"17:00:19";"";"23,6200";"440"
"15.03.2019";"16:58:51";"";"23,6300";"63"
"15.03.2019";"16:56:52";"";"23,6250";"1"
"15.03.2019";"16:48:37";"";"23,6100";"4"
"15.03.2019";"16:38:29";"";"23,5900";"59"
"15.03.2019";"15:43:37";"";"23,6050";"500"
"15.03.2019";"15:37:04";"";"23,6350";"17"
"15.03.2019";"15:36:56";"";"23,6150";"2"
"15.03.2019";"15:36:07";"";"23,6450";"654"
"15.03.2019";"15:36:07";"";"23,6350";"187"
"15.03.2019";"15:17:17";"";"23,6350";"136"
"15.03.2019";"15:17:17";"";"23,6200";"187"
"15.03.2019";"14:59:28";"";"23,6100";"756"
"15.03.2019";"14:51:31";"";"23,6750";"2.314"
"15.03.2019";"14:51:31";"";"23,6650";"186"
"15.03.2019";"14:46:01";"";"23,6800";"906"
"15.03.2019";"14:46:01";"";"23,6800";"7.670"
"15.03.2019";"14:44:29";"";"23,6950";"260"
