"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 B�rse: Xetra)"

"Datum";"Zeit";"Kurszusatz";"Kurs";"Volumen"
"15.03.2019";"14:44:21";"";"23,6950";"777"
"15.03.2019";"14:31:24";"";"23,6800";"118"
"15.03.2019";"14:14:36";"";"23,7800";"951"
"15.03.2019";"14:08:00";"";"23,7650";"186"
"15.03.2019";"13:41:25";"";"23,7750";"186"
"15.03.2019";"13:41:14";"";"23,7550";"105"
"15.03.2019";"13:30:34";"";"23,7550";"4.300"
"15.03.2019";"13:12:10";"";"23,7650";"0"
"15.03.2019";"11:33:37";"";"23,7400";"42"
"15.03.2019";"11:02:17";"";"23,7300";"1.062"
"15.03.2019";"10:40:16";"";"23,7450";"3"
"15.03.2019";"10:39:05";"";"23,7250";"200"
"15.03.2019";"10:05:24";"";"23,7350";"25"
"15.03.2019";"10:02:52";"";"23,7300";"625"
"15.03.2019";"09:56:34";"";"23,7250";"222"
"15.03.2019";"09:56:34";"";"23,7200";"43"
"15.03.2019";"09:55:40";"";"23,7050";"165"
"15.03.2019";"09:04:03";"";"23,7400";"1.215"
"15.03.2019";"09:04:02";"";"23,7400";"0"
"14.03.2019";"17:35:59";"";"23,6900";"0"
"14.03.2019";"17:20:00";"";"23,7150";"826"
"14.03.2019";"17:20:00";"";"23,7100";"186"
"14.03.2019";"17:14:00";"";"23,7150";"20"
"14.03.2019";"16:59:57";"";"23,7100";"4"
"14.03.2019";"16:15:03";"";"23,7050";"265"
"14.03.2019";"16:15:03";"";"23,6950";"186"
"14.03.2019";"15:36:05";"";"23,6550";"1"
"14.03.2019";"15:30:43";"";"23,6600";"45"
"14.03.2019";"15:04:35";"";"23,6550";"179"
"14.03.2019";"15:03:13";"";"23,6750";"3"
"14.03.2019";"15:03:13";"";"23,6700";"186"
"14.03.2019";"14:52:56";"";"23,6700";"186"
"14.03.2019";"14:34:00";"";"23,7000";"186"
"14.03.2019";"13:12:27";"";"23,7000";"0"
"14.03.2019";"13:04:27";"";"23,6950";"186"
"14.03.2019";"12:35:31";"";"23,6700";"186"
"14.03.2019";"11:44:38";"";"23,6400";"23"
"14.03.2019";"11:05:07";"";"23,6600";"1.867"
"14.03.2019";"11:03:24";"";"23,6600";"397"
"14.03.2019";"11:03:22";"";"23,6600";"140"
"14.03.2019";"10:29:24";"";"23,6600";"684"
"14.03.2019";"09:04:17";"";"23,6450";"218"
