"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 B�rse: Xetra)"

"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"26.03.2019";"17:36";"23,995";"23,995";"23,995";"23,995";"0,00"
"26.03.2019";"17:29";"24,00";"24,00";"24,00";"24,00";"172,00"
"26.03.2019";"17:20";"24,02";"24,02";"24,02";"24,02";"184,00"
"26.03.2019";"16:04";"24,05";"24,05";"24,05";"24,05";"625,00"
"26.03.2019";"15:43";"24,03";"24,03";"24,03";"24,03";"1.627,00"
"26.03.2019";"14:57";"24,025";"24,025";"24,025";"24,025";"85,00"
"26.03.2019";"14:46";"24,03";"24,045";"24,03";"24,045";"283,00"
"26.03.2019";"14:42";"24,03";"24,03";"24,03";"24,03";"63,00"
"26.03.2019";"14:36";"24,00";"24,00";"24,00";"24,00";"300,00"
"26.03.2019";"13:48";"23,965";"23,965";"23,965";"23,965";"920,00"
"26.03.2019";"13:24";"23,95";"23,95";"23,95";"23,95";"657,00"
"26.03.2019";"13:15";"23,945";"23,945";"23,945";"23,945";"1.128,00"
"26.03.2019";"13:12";"23,94";"23,945";"23,94";"23,945";"132,00"
"26.03.2019";"12:22";"23,925";"23,925";"23,925";"23,925";"260,00"
"26.03.2019";"11:30";"23,90";"23,90";"23,90";"23,90";"83,00"
"26.03.2019";"11:14";"23,90";"23,90";"23,90";"23,90";"210,00"
"26.03.2019";"10:12";"23,895";"23,895";"23,895";"23,895";"350,00"
"26.03.2019";"10:08";"23,895";"23,895";"23,895";"23,895";"100,00"
"26.03.2019";"09:47";"23,88";"23,88";"23,88";"23,88";"185,00"
"26.03.2019";"09:41";"23,885";"23,895";"23,885";"23,895";"612,00"
"26.03.2019";"09:19";"23,88";"23,88";"23,88";"23,88";"1,00"
"26.03.2019";"09:10";"23,875";"23,885";"23,875";"23,885";"1.883,00"
"26.03.2019";"09:05";"23,855";"23,855";"23,855";"23,855";"3.512,00"
"26.03.2019";"09:04";"23,875";"23,875";"23,875";"23,875";"41,00"
"25.03.2019";"17:36";"23,85";"23,85";"23,85";"23,85";"0,00"
"25.03.2019";"17:20";"23,865";"23,87";"23,865";"23,87";"206,00"
"25.03.2019";"17:14";"23,845";"23,845";"23,845";"23,845";"33,00"
"25.03.2019";"16:56";"23,825";"23,825";"23,825";"23,825";"23,00"
"25.03.2019";"16:26";"23,835";"23,835";"23,835";"23,835";"185,00"
"25.03.2019";"16:22";"23,85";"23,85";"23,825";"23,835";"1.664,00"
"25.03.2019";"16:17";"23,825";"23,825";"23,825";"23,825";"50.018,00"
"25.03.2019";"16:14";"23,815";"23,815";"23,815";"23,815";"39,00"
"25.03.2019";"15:36";"23,755";"23,755";"23,74";"23,74";"692,00"
"25.03.2019";"15:31";"23,745";"23,745";"23,745";"23,745";"865,00"
"25.03.2019";"15:07";"23,765";"23,765";"23,765";"23,765";"125,00"
"25.03.2019";"15:01";"23,755";"23,755";"23,755";"23,755";"532,00"
"25.03.2019";"14:46";"23,77";"23,77";"23,77";"23,77";"210,00"
"25.03.2019";"13:45";"23,79";"23,79";"23,79";"23,79";"839,00"
"25.03.2019";"13:44";"23,79";"23,79";"23,79";"23,79";"6.280,00"
"25.03.2019";"13:12";"23,775";"23,775";"23,775";"23,775";"0,00"
"25.03.2019";"12:03";"23,795";"23,795";"23,795";"23,795";"3.776,00"
"25.03.2019";"11:50";"23,81";"23,81";"23,805";"23,805";"3.271,00"
"25.03.2019";"11:48";"23,79";"23,82";"23,79";"23,82";"645,00"
"25.03.2019";"10:01";"23,80";"23,80";"23,80";"23,80";"1.151,00"
"25.03.2019";"09:41";"23,79";"23,795";"23,77";"23,77";"840,00"
"25.03.2019";"09:10";"23,82";"23,82";"23,82";"23,82";"110,00"
"25.03.2019";"09:04";"23,76";"23,76";"23,76";"23,76";"1.716,00"
"22.03.2019";"17:36";"23,835";"23,835";"23,835";"23,835";"0,00"
"22.03.2019";"17:20";"23,855";"23,885";"23,855";"23,885";"2.216,00"
"22.03.2019";"17:00";"23,89";"23,89";"23,89";"23,89";"4.530,00"
"22.03.2019";"16:50";"23,93";"23,93";"23,93";"23,93";"150,00"
"22.03.2019";"16:26";"23,985";"23,985";"23,985";"23,985";"1.453,00"
"22.03.2019";"16:19";"24,01";"24,02";"24,01";"24,02";"25.000,00"
"22.03.2019";"16:13";"24,015";"24,02";"24,015";"24,02";"400,00"
"22.03.2019";"16:02";"24,015";"24,015";"24,015";"24,015";"204,00"
"22.03.2019";"15:46";"23,995";"23,995";"23,995";"23,995";"280,00"
"22.03.2019";"15:36";"23,995";"24,02";"23,995";"24,02";"5,00"
"22.03.2019";"15:13";"23,99";"23,99";"23,99";"23,99";"61,00"
"22.03.2019";"13:45";"23,88";"23,88";"23,875";"23,875";"1.862,00"
