"iShares Developed Markets Property Yield UCITS ETF - USD DIS(WKN: A0LEW8 Börse: Xetra)"

"Datum";"Zeit";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"01.03.2019";"14:14";"23,17";"23,17";"23,17";"23,17";"1.301,00"
"01.03.2019";"14:07";"23,185";"23,185";"23,185";"23,185";"425,00"
"01.03.2019";"13:50";"23,175";"23,175";"23,175";"23,175";"31,00"
"01.03.2019";"13:38";"23,185";"23,185";"23,185";"23,185";"15,00"
"01.03.2019";"13:15";"23,175";"23,175";"23,175";"23,175";"1.027,00"
"01.03.2019";"13:12";"23,185";"23,185";"23,18";"23,18";"280,00"
"01.03.2019";"12:30";"23,19";"23,19";"23,19";"23,19";"13,00"
"01.03.2019";"11:17";"23,21";"23,21";"23,21";"23,21";"16,00"
"01.03.2019";"10:59";"23,19";"23,19";"23,185";"23,185";"4.300,00"
"01.03.2019";"10:38";"23,21";"23,21";"23,21";"23,21";"190,00"
"01.03.2019";"10:26";"23,20";"23,20";"23,175";"23,175";"6.800,00"
"01.03.2019";"10:23";"23,22";"23,22";"23,22";"23,22";"110,00"
"01.03.2019";"10:18";"23,205";"23,205";"23,205";"23,205";"1.289,00"
"01.03.2019";"10:02";"23,21";"23,21";"23,21";"23,21";"375,00"
"01.03.2019";"09:44";"23,19";"23,19";"23,19";"23,19";"65,00"
"01.03.2019";"09:30";"23,22";"23,22";"23,22";"23,22";"40,00"
"01.03.2019";"09:13";"23,205";"23,205";"23,205";"23,205";"291,00"
"01.03.2019";"09:04";"23,22";"23,22";"23,22";"23,22";"1.087,00"

