Datum;Zeit;Eröffnung;Hoch;Tief;Schluss;Volumen
07.03.2019;17:35:00;7,753;7,753;7,753;7,753;3.897.813,00
07.03.2019;17:30:00;7,752;7,752;7,749;7,749;1.874,00
07.03.2019;17:25:00;7,743;7,76;7,743;7,751;197.406,00
07.03.2019;17:20:00;7,754;7,757;7,738;7,74;201.488,00
07.03.2019;17:15:00;7,757;7,762;7,75;7,754;126.686,00
07.03.2019;17:10:00;7,762;7,763;7,746;7,756;145.746,00
07.03.2019;17:05:00;7,759;7,767;7,757;7,762;141.719,00
07.03.2019;17:00:00;7,763;7,767;7,749;7,754;198.148,00
07.03.2019;16:55:00;7,757;7,769;7,752;7,764;177.852,00
07.03.2019;16:50:00;7,761;7,766;7,743;7,754;143.008,00
07.03.2019;16:45:00;7,72;7,764;7,72;7,761;241.721,00
07.03.2019;16:40:00;7,755;7,763;7,72;7,721;292.805,00
07.03.2019;16:35:00;7,743;7,764;7,743;7,757;196.169,00
07.03.2019;16:30:00;7,733;7,755;7,724;7,746;205.512,00
07.03.2019;16:25:00;7,709;7,738;7,702;7,736;180.491,00
07.03.2019;16:20:00;7,688;7,713;7,683;7,708;337.946,00
07.03.2019;16:15:00;7,715;7,734;7,685;7,687;629.064,00
07.03.2019;16:10:00;7,726;7,743;7,707;7,716;508.725,00
07.03.2019;16:05:00;7,742;7,758;7,717;7,727;616.131,00
07.03.2019;16:00:00;7,752;7,757;7,716;7,739;615.198,00
07.03.2019;15:55:00;7,772;7,777;7,732;7,752;358.276,00
07.03.2019;15:50:00;7,782;7,814;7,77;7,771;502.304,00
07.03.2019;15:45:00;7,775;7,811;7,759;7,782;351.244,00
07.03.2019;15:40:00;7,745;7,791;7,716;7,78;596.755,00
07.03.2019;15:36:00;7,831;7,835;7,728;7,744;585.896,00
07.03.2019;15:30:00;7,863;7,9;7,852;7,852;416.447,00
07.03.2019;15:25:00;7,896;7,896;7,855;7,865;198.966,00
07.03.2019;15:20:00;7,912;7,912;7,87;7,885;301.697,00
07.03.2019;15:15:00;7,905;7,95;7,905;7,913;204.423,00
07.03.2019;15:10:00;7,902;7,932;7,879;7,905;307.551,00
07.03.2019;15:05:00;7,893;7,935;7,879;7,906;247.751,00
07.03.2019;15:00:00;7,981;7,982;7,885;7,892;421.520,00
07.03.2019;14:55:00;7,924;8,007;7,92;7,977;289.099,00
07.03.2019;14:50:00;8,048;8,06;7,89;7,92;734.150,00
07.03.2019;14:45:00;8,132;8,136;8,01;8,045;594.965,00
07.03.2019;14:40:00;8,148;8,155;8,127;8,131;406.408,00
07.03.2019;14:35:00;8,17;8,186;8,148;8,148;160.866,00
07.03.2019;14:30:00;8,149;8,172;8,136;8,172;127.312,00
07.03.2019;14:25:00;8,158;8,163;8,145;8,153;63.046,00
07.03.2019;14:20:00;8,126;8,161;8,124;8,161;77.943,00
07.03.2019;14:15:00;8,163;8,167;8,126;8,128;132.781,00
07.03.2019;14:10:00;8,164;8,175;8,154;8,162;185.921,00
07.03.2019;14:05:00;8,143;8,165;8,142;8,164;100.557,00
07.03.2019;14:00:00;8,163;8,163;8,129;8,141;66.479,00
07.03.2019;13:55:00;8,14;8,154;8,13;8,154;193.104,00
07.03.2019;13:50:00;8,163;8,179;8,128;8,141;275.039,00
07.03.2019;13:45:00;8,109;8,19;8,109;8,161;933.135,00
07.03.2019;13:40:00;8,11;8,11;8,094;8,107;138.089,00
07.03.2019;13:35:00;8,102;8,113;8,101;8,111;65.173,00
07.03.2019;13:30:00;8,111;8,111;8,092;8,101;47.187,00
07.03.2019;13:25:00;8,102;8,113;8,099;8,11;22.372,00
07.03.2019;13:20:00;8,103;8,108;8,102;8,103;28.549,00
07.03.2019;13:15:00;8,105;8,115;8,102;8,105;30.502,00
07.03.2019;13:10:00;8,105;8,11;8,102;8,102;25.116,00
07.03.2019;13:05:00;8,086;8,105;8,086;8,104;63.853,00
07.03.2019;13:02:00;8,094;8,094;8,08;8,09;38.694,00
07.03.2019;12:55:00;8,079;8,093;8,079;8,093;37.275,00
07.03.2019;12:50:00;8,063;8,074;8,059;8,074;91.309,00
07.03.2019;12:45:00;8,05;8,064;8,05;8,064;43.372,00
07.03.2019;12:40:00;8,05;8,05;8,044;8,049;35.544,00
07.03.2019;12:35:00;8,045;8,051;8,042;8,05;64.173,00
07.03.2019;12:30:00;8,059;8,06;8,047;8,047;36.874,00
07.03.2019;12:25:00;8,063;8,066;8,059;8,059;42.653,00
07.03.2019;12:20:00;8,073;8,075;8,063;8,063;33.032,00
07.03.2019;12:15:00;8,064;8,076;8,061;8,072;26.586,00
07.03.2019;12:10:00;8,079;8,081;8,06;8,061;55.034,00
07.03.2019;12:05:00;8,076;8,08;8,068;8,079;20.017,00
07.03.2019;12:00:00;8,075;8,076;8,067;8,074;13.285,00
07.03.2019;11:55:00;8,058;8,075;8,057;8,072;23.406,00
07.03.2019;11:50:00;8,062;8,064;8,055;8,055;25.953,00
07.03.2019;11:45:00;8,057;8,065;8,054;8,061;34.887,00
07.03.2019;11:40:00;8,074;8,075;8,055;8,055;39.578,00
07.03.2019;11:35:00;8,08;8,082;8,067;8,075;78.885,00
07.03.2019;11:30:00;8,085;8,085;8,077;8,08;18.593,00
07.03.2019;11:25:00;8,087;8,094;8,083;8,089;47.339,00
07.03.2019;11:20:00;8,072;8,083;8,067;8,083;17.196,00
07.03.2019;11:16:00;8,079;8,079;8,073;8,073;21.477,00
07.03.2019;11:10:00;8,072;8,078;8,071;8,074;30.005,00
07.03.2019;11:05:00;8,08;8,081;8,07;8,072;45.163,00
07.03.2019;11:00:00;8,072;8,084;8,07;8,077;38.338,00
07.03.2019;10:55:00;8,08;8,08;8,07;8,071;33.870,00
07.03.2019;10:50:00;8,084;8,092;8,083;8,083;41.213,00
07.03.2019;10:45:00;8,087;8,097;8,087;8,088;27.291,00
