"Datum";"Zeit";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"05.04.2019";"17:35";"102,50";"102,50";"102,50";"102,50";"1.264.209,00"
"05.04.2019";"17:15";"102,46";"102,54";"102,32";"102,40";"62.071,00"
"05.04.2019";"17:00";"102,34";"102,56";"102,34";"102,48";"42.514,00"
"05.04.2019";"16:45";"102,38";"102,50";"102,34";"102,36";"25.252,00"
"05.04.2019";"16:30";"102,42";"102,48";"102,34";"102,36";"38.413,00"
"05.04.2019";"16:15";"102,34";"102,40";"102,30";"102,40";"36.325,00"
"05.04.2019";"16:00";"102,18";"102,38";"102,10";"102,38";"43.497,00"
"05.04.2019";"15:45";"102,46";"102,52";"102,10";"102,16";"70.814,00"
"05.04.2019";"15:30";"102,06";"102,48";"102,02";"102,46";"69.821,00"
"05.04.2019";"15:15";"101,98";"102,08";"101,96";"102,04";"18.379,00"
"05.04.2019";"15:00";"102,00";"102,08";"101,94";"101,96";"24.914,00"
"05.04.2019";"14:45";"102,26";"102,26";"101,92";"101,98";"46.316,00"
"05.04.2019";"14:30";"102,20";"102,34";"102,20";"102,26";"35.065,00"
"05.04.2019";"14:15";"102,18";"102,20";"102,06";"102,20";"36.820,00"
"05.04.2019";"14:00";"102,14";"102,34";"102,14";"102,20";"21.911,00"
"05.04.2019";"13:45";"102,38";"102,42";"102,06";"102,10";"52.905,00"
"05.04.2019";"13:30";"102,46";"102,50";"102,36";"102,36";"18.086,00"
"05.04.2019";"13:15";"102,40";"102,62";"102,40";"102,44";"27.728,00"
"05.04.2019";"13:00";"102,28";"102,44";"102,24";"102,42";"83.129,00"
"05.04.2019";"12:45";"102,20";"102,30";"102,20";"102,26";"23.886,00"
"05.04.2019";"12:30";"102,14";"102,26";"102,12";"102,20";"18.635,00"
"05.04.2019";"12:15";"101,98";"102,14";"101,96";"102,14";"26.356,00"
"05.04.2019";"12:01";"102,04";"102,08";"101,94";"101,94";"22.688,00"
"05.04.2019";"11:45";"102,04";"102,12";"101,96";"102,08";"59.496,00"
"05.04.2019";"11:30";"101,74";"102,06";"101,72";"102,04";"33.052,00"
"05.04.2019";"11:15";"101,94";"101,94";"101,74";"101,76";"26.269,00"
"05.04.2019";"11:00";"101,70";"102,06";"101,68";"101,94";"34.503,00"
"05.04.2019";"10:45";"101,80";"101,86";"101,68";"101,70";"25.802,00"
"05.04.2019";"10:30";"101,98";"102,02";"101,76";"101,76";"50.756,00"
"05.04.2019";"10:15";"102,02";"102,06";"101,86";"101,98";"49.779,00"
