"Datum";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"01.04.2019";"103,00";"104,88";"101,68";"102,50";"10.818.729,00"
"25.03.2019";"97,90";"103,40";"97,36";"103,00";"10.626.904,00"
"18.03.2019";"99,60";"100,94";"98,37";"98,68";"10.375.041,00"
"11.03.2019";"95,75";"99,40";"94,74";"99,35";"15.092.664,00"
"04.03.2019";"95,86";"95,98";"94,28";"95,60";"7.886.016,00"
"25.02.2019";"95,89";"95,90";"92,60";"94,89";"8.836.415,00"
"18.02.2019";"94,60";"95,72";"93,63";"95,41";"7.386.605,00"
"11.02.2019";"91,70";"94,99";"91,50";"94,30";"9.290.668,00"
"04.02.2019";"90,02";"93,42";"89,92";"91,66";"12.275.306,00"
"28.01.2019";"92,60";"92,98";"88,41";"90,79";"15.511.938,00"
"21.01.2019";"93,41";"93,92";"90,53";"92,66";"10.704.802,00"
"14.01.2019";"88,16";"93,33";"87,58";"93,10";"11.096.894,00"
"07.01.2019";"87,20";"89,85";"86,04";"89,00";"11.323.595,00"
"02.01.2019";"87,00";"87,40";"83,95";"86,44";"8.835.527,00"
"27.12.2018";"86,80";"87,53";"84,68";"86,93";"4.831.637,00"
"17.12.2018";"89,64";"89,82";"85,70";"86,42";"18.598.215,00"
"10.12.2018";"88,40";"91,77";"88,25";"89,94";"13.112.427,00"
"03.12.2018";"92,67";"93,14";"87,47";"88,67";"13.741.912,00"
"26.11.2018";"90,00";"92,35";"89,21";"90,92";"11.394.049,00"
"19.11.2018";"92,00";"92,37";"86,21";"89,35";"12.918.007,00"
"12.11.2018";"93,43";"93,50";"89,78";"91,70";"17.613.896,00"
"05.11.2018";"94,19";"95,33";"92,73";"95,17";"9.829.474,00"
"29.10.2018";"93,21";"95,50";"91,38";"94,39";"13.881.344,00"
"22.10.2018";"96,62";"96,71";"89,29";"92,99";"15.898.531,00"
"15.10.2018";"98,54";"102,92";"93,14";"95,30";"19.628.111,00"
"08.10.2018";"104,22";"104,30";"94,14";"98,07";"17.436.788,00"
"01.10.2018";"106,02";"107,02";"104,22";"104,22";"7.904.274,00"
"24.09.2018";"103,52";"108,52";"102,90";"106,00";"11.935.600,00"
"17.09.2018";"104,20";"104,20";"100,88";"104,10";"16.177.236,00"
"10.09.2018";"100,56";"104,62";"100,42";"104,20";"9.409.506,00"
"03.09.2018";"103,02";"103,98";"98,57";"100,56";"10.745.801,00"
"27.08.2018";"104,30";"104,96";"102,74";"103,62";"7.988.143,00"
"20.08.2018";"101,82";"103,98";"101,76";"103,98";"6.739.973,00"
"13.08.2018";"99,09";"102,42";"98,99";"101,98";"10.051.965,00"
"06.08.2018";"100,14";"101,06";"98,04";"98,65";"9.433.453,00"
"30.07.2018";"102,50";"102,86";"98,54";"99,77";"10.111.720,00"
"23.07.2018";"99,58";"104,06";"99,43";"103,14";"10.333.505,00"
"16.07.2018";"102,78";"105,08";"99,57";"99,99";"13.810.083,00"
"09.07.2018";"100,00";"103,38";"99,69";"102,78";"10.017.375,00"
"02.07.2018";"98,00";"99,98";"97,45";"99,45";"9.866.591,00"
"25.06.2018";"100,40";"100,78";"96,77";"98,95";"14.403.551,00"
"18.06.2018";"103,06";"103,36";"99,87";"100,90";"12.489.753,00"
"11.06.2018";"100,52";"105,28";"100,50";"103,78";"21.195.952,00"
"04.06.2018";"97,80";"100,50";"96,67";"100,44";"13.073.163,00"
"28.05.2018";"98,00";"98,28";"94,76";"97,33";"14.581.497,00"
"22.05.2018";"96,03";"97,92";"95,25";"97,83";"11.125.935,00"
"14.05.2018";"97,23";"97,42";"95,04";"95,85";"13.594.371,00"
"07.05.2018";"95,30";"97,90";"94,89";"97,42";"10.665.461,00"
"30.04.2018";"92,18";"95,44";"91,29";"95,44";"11.105.776,00"
"23.04.2018";"86,45";"92,28";"85,83";"92,02";"18.005.564,00"
"16.04.2018";"88,01";"89,11";"86,36";"86,52";"13.550.447,00"
"09.04.2018";"87,06";"88,41";"86,33";"87,97";"10.289.978,00"
"03.04.2018";"83,96";"86,79";"82,88";"86,47";"11.910.238,00"
"26.03.2018";"84,37";"85,76";"82,52";"84,97";"12.773.203,00"
"19.03.2018";"87,00";"87,08";"83,18";"84,07";"15.637.229,00"
"12.03.2018";"89,20";"89,38";"86,73";"87,35";"22.459.388,00"
"05.03.2018";"82,10";"88,55";"82,08";"88,39";"16.544.331,00"
"26.02.2018";"85,42";"86,58";"82,05";"82,47";"18.298.272,00"
"19.02.2018";"84,45";"84,90";"83,01";"84,52";"11.917.291,00"
"12.02.2018";"83,63";"84,85";"82,42";"84,31";"16.986.508,00"
"05.02.2018";"87,49";"87,89";"82,19";"82,86";"24.626.318,00"
"29.01.2018";"91,88";"93,08";"88,00";"88,00";"17.617.771,00"
"22.01.2018";"92,20";"93,48";"90,33";"91,72";"12.314.953,00"
"15.01.2018";"90,35";"92,75";"89,71";"92,30";"13.635.628,00"
"08.01.2018";"96,88";"96,97";"90,27";"90,73";"13.468.653,00"
"02.01.2018";"93,35";"96,44";"92,12";"96,44";"9.199.735,00"
"27.12.2017";"94,55";"95,21";"93,14";"93,45";"4.027.389,00"
"18.12.2017";"97,85";"98,84";"94,34";"94,58";"9.165.311,00"
"11.12.2017";"95,52";"97,49";"94,37";"97,35";"14.720.729,00"
"04.12.2017";"94,27";"97,11";"93,03";"95,54";"10.252.355,00"
"27.11.2017";"97,17";"97,99";"92,81";"93,17";"11.868.219,00"
"20.11.2017";"95,77";"98,45";"95,47";"97,25";"7.394.681,00"
"13.11.2017";"96,31";"97,01";"94,96";"96,51";"8.841.235,00"
"06.11.2017";"98,97";"99,74";"96,15";"96,26";"10.060.206,00"
"30.10.2017";"98,13";"100,70";"97,53";"98,85";"10.018.704,00"
"23.10.2017";"95,25";"98,61";"94,61";"98,32";"10.718.837,00"
"16.10.2017";"95,30";"96,49";"92,27";"95,22";"11.784.632,00"
"09.10.2017";"94,50";"95,94";"94,41";"95,12";"6.783.172,00"
"02.10.2017";"93,00";"94,58";"92,92";"94,30";"6.458.953,00"
"25.09.2017";"91,80";"92,69";"91,22";"92,69";"7.837.915,00"
"18.09.2017";"92,50";"92,71";"91,39";"92,09";"6.421.363,00"
"11.09.2017";"91,11";"92,29";"91,09";"92,01";"14.913.616,00"
"04.09.2017";"88,00";"90,64";"87,27";"90,54";"8.124.967,00"
"28.08.2017";"87,60";"89,01";"86,24";"88,60";"9.045.093,00"
"21.08.2017";"88,77";"89,86";"88,35";"88,35";"6.989.729,00"
"14.08.2017";"88,79";"90,93";"88,72";"89,24";"8.263.173,00"
"07.08.2017";"91,46";"91,51";"87,94";"88,43";"9.756.376,00"
"31.07.2017";"90,07";"91,65";"88,97";"91,44";"10.714.411,00"
"24.07.2017";"89,29";"91,07";"88,48";"90,30";"12.231.639,00"
"17.07.2017";"91,74";"91,97";"88,58";"88,88";"13.106.247,00"
"10.07.2017";"90,94";"92,13";"90,17";"91,34";"9.122.283,00"
"03.07.2017";"91,78";"91,89";"89,25";"90,36";"10.658.687,00"
"26.06.2017";"96,25";"96,33";"90,24";"91,45";"12.222.984,00"
