"Datum";"Zeit";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"29.03.2019";"12:30";"102,82";"103,00";"102,76";"102,76";"39.171,00"
"29.03.2019";"12:00";"102,42";"102,98";"102,34";"102,80";"68.871,00"
"29.03.2019";"11:30";"102,24";"102,52";"102,22";"102,46";"71.558,00"
"29.03.2019";"11:00";"102,38";"102,44";"102,16";"102,24";"106.899,00"
"29.03.2019";"10:30";"102,32";"102,52";"102,24";"102,38";"59.711,00"
"29.03.2019";"10:00";"102,26";"102,44";"102,12";"102,32";"64.826,00"
"29.03.2019";"09:30";"102,32";"102,52";"102,22";"102,24";"61.747,00"
"29.03.2019";"09:00";"102,18";"102,42";"102,06";"102,34";"140.372,00"
"28.03.2019";"17:35";"101,44";"101,44";"101,44";"101,44";"1.011.068,00"
"28.03.2019";"17:00";"101,34";"101,68";"101,34";"101,64";"102.211,00"
"28.03.2019";"16:30";"101,14";"101,46";"101,12";"101,38";"43.573,00"
"28.03.2019";"16:00";"101,44";"101,52";"101,12";"101,18";"113.509,00"
"28.03.2019";"15:30";"101,78";"101,94";"101,34";"101,48";"78.339,00"
"28.03.2019";"15:00";"101,86";"102,06";"101,74";"101,76";"104.417,00"
"28.03.2019";"14:30";"101,84";"101,86";"101,64";"101,86";"77.616,00"
"28.03.2019";"14:00";"101,74";"101,86";"101,68";"101,84";"34.193,00"
"28.03.2019";"13:30";"101,74";"101,80";"101,58";"101,76";"31.032,00"
"28.03.2019";"13:00";"101,76";"101,82";"101,68";"101,74";"57.725,00"
"28.03.2019";"12:30";"101,64";"101,84";"101,60";"101,76";"71.948,00"
"28.03.2019";"12:00";"101,70";"101,76";"101,62";"101,66";"57.153,00"
"28.03.2019";"11:30";"101,68";"101,72";"101,52";"101,70";"44.335,00"
"28.03.2019";"11:00";"101,64";"101,76";"101,48";"101,68";"57.186,00"
"28.03.2019";"10:30";"101,32";"101,64";"101,30";"101,62";"47.117,00"
"28.03.2019";"10:00";"101,34";"101,48";"101,24";"101,34";"51.297,00"
"28.03.2019";"09:30";"101,00";"101,46";"100,96";"101,36";"40.120,00"
"28.03.2019";"09:00";"100,52";"101,24";"100,50";"101,02";"90.802,00"
"27.03.2019";"17:30";"100,44";"100,44";"100,24";"100,24";"878.607,00"
"27.03.2019";"17:00";"100,26";"100,48";"100,24";"100,44";"90.336,00"
"27.03.2019";"16:30";"100,32";"100,36";"100,08";"100,28";"104.297,00"
"27.03.2019";"16:00";"100,46";"100,60";"100,34";"100,34";"144.114,00"
"27.03.2019";"15:30";"101,12";"101,16";"100,36";"100,42";"128.257,00"
"27.03.2019";"15:00";"100,98";"101,16";"100,94";"101,10";"58.615,00"
"27.03.2019";"14:30";"100,90";"101,28";"100,90";"100,98";"157.318,00"
"27.03.2019";"14:00";"101,02";"101,02";"100,76";"100,90";"26.235,00"
"27.03.2019";"13:30";"100,64";"101,08";"100,62";"101,02";"73.433,00"
"27.03.2019";"13:00";"100,64";"100,78";"100,50";"100,68";"38.602,00"
"27.03.2019";"12:30";"100,42";"100,66";"100,36";"100,62";"18.862,00"
"27.03.2019";"12:00";"100,18";"100,42";"100,16";"100,40";"29.751,00"
"27.03.2019";"11:31";"100,28";"100,32";"100,12";"100,20";"37.546,00"
"27.03.2019";"11:00";"100,24";"100,24";"100,08";"100,22";"34.638,00"
"27.03.2019";"10:30";"100,48";"100,66";"100,18";"100,24";"58.666,00"
"27.03.2019";"10:00";"100,18";"100,46";"100,12";"100,46";"42.267,00"
"27.03.2019";"09:30";"100,30";"100,36";"100,06";"100,20";"46.826,00"
"27.03.2019";"09:00";"100,96";"101,00";"100,04";"100,28";"171.388,00"
"26.03.2019";"17:35";"100,86";"100,86";"100,86";"100,86";"963.471,00"
"26.03.2019";"17:00";"100,54";"100,74";"100,50";"100,68";"104.623,00"
"26.03.2019";"16:30";"100,42";"100,56";"100,32";"100,52";"104.911,00"
"26.03.2019";"16:00";"100,58";"100,70";"100,40";"100,44";"100.383,00"
"26.03.2019";"15:30";"100,42";"100,58";"100,24";"100,56";"73.972,00"
"26.03.2019";"15:00";"100,28";"100,46";"100,24";"100,40";"113.804,00"
"26.03.2019";"14:30";"100,12";"100,40";"100,00";"100,30";"168.135,00"
"26.03.2019";"14:00";"99,71";"100,16";"99,71";"100,12";"101.386,00"
"26.03.2019";"13:30";"99,68";"99,75";"99,54";"99,71";"22.267,00"
"26.03.2019";"13:02";"99,35";"99,72";"99,35";"99,67";"71.700,00"
"26.03.2019";"12:30";"99,39";"99,39";"99,19";"99,36";"21.077,00"
"26.03.2019";"12:00";"99,34";"99,43";"99,30";"99,39";"22.224,00"
"26.03.2019";"11:30";"99,37";"99,39";"99,19";"99,33";"25.467,00"
"26.03.2019";"11:00";"99,26";"99,41";"99,14";"99,38";"51.832,00"
"26.03.2019";"10:30";"99,19";"99,31";"99,10";"99,26";"45.947,00"
"26.03.2019";"10:00";"98,89";"99,26";"98,89";"99,20";"42.049,00"
"26.03.2019";"09:30";"99,01";"99,08";"98,85";"98,90";"42.372,00"
"26.03.2019";"09:00";"99,00";"99,19";"98,90";"99,00";"93.782,00"
"25.03.2019";"17:35";"98,64";"98,64";"98,64";"98,64";"630.523,00"
"25.03.2019";"17:00";"98,60";"98,89";"98,56";"98,86";"75.594,00"
"25.03.2019";"16:30";"98,75";"98,75";"98,58";"98,59";"50.584,00"
"25.03.2019";"16:00";"98,50";"98,77";"98,30";"98,77";"57.834,00"
"25.03.2019";"15:30";"98,29";"98,62";"98,20";"98,55";"61.101,00"
"25.03.2019";"15:00";"98,28";"98,36";"98,14";"98,27";"48.688,00"
"25.03.2019";"14:30";"98,40";"98,59";"98,23";"98,28";"115.530,00"
"25.03.2019";"14:00";"98,53";"98,53";"98,36";"98,41";"34.762,00"
"25.03.2019";"13:30";"98,29";"98,59";"98,29";"98,52";"33.536,00"
"25.03.2019";"13:02";"98,11";"98,46";"98,04";"98,32";"59.232,00"
"25.03.2019";"12:30";"98,19";"98,26";"98,02";"98,02";"28.107,00"
"25.03.2019";"12:00";"98,20";"98,23";"98,11";"98,19";"18.932,00"
"25.03.2019";"11:30";"98,43";"98,47";"98,17";"98,20";"36.134,00"
"25.03.2019";"11:00";"98,51";"98,55";"98,28";"98,44";"37.173,00"
"25.03.2019";"10:30";"98,45";"98,60";"98,35";"98,52";"55.543,00"
"25.03.2019";"10:00";"98,27";"98,63";"98,18";"98,43";"107.532,00"
"25.03.2019";"09:30";"98,36";"98,46";"98,19";"98,28";"77.622,00"
"25.03.2019";"09:00";"97,90";"98,43";"97,36";"98,37";"180.270,00"
"05.04.2019";"17:35";"102,50";"102,50";"102,50";"102,50";"1.264.209,00"
"05.04.2019";"17:00";"102,34";"102,56";"102,32";"102,40";"104.585,00"
"05.04.2019";"16:30";"102,42";"102,50";"102,34";"102,36";"63.665,00"
"05.04.2019";"16:00";"102,18";"102,40";"102,10";"102,40";"79.822,00"
