"Wirecard AG Inhaber-Aktien o.N.(WKN: 747206 Börse: Xetra)"

"Datum";"Zeit";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"25.03.2019";"09:25";"97,74";"99,00";"97,50";"98,74";"20.664,00"
"25.03.2019";"09:20";"97,60";"98,28";"97,60";"97,62";"19.387,00"
"25.03.2019";"09:15";"96,94";"97,66";"96,84";"97,60";"20.262,00"
"25.03.2019";"09:10";"96,48";"97,86";"95,76";"96,90";"45.158,00"
"25.03.2019";"09:07";"94,10";"96,48";"93,98";"96,48";"101.728,00"
"25.03.2019";"09:00";"97,50";"97,86";"93,12";"93,12";"164.968,00"
"22.03.2019";"17:35";"99,00";"99,00";"99,00";"99,00";"539.169,00"
"22.03.2019";"17:30";"100,80";"100,80";"100,80";"100,80";"506,00"
"22.03.2019";"17:25";"102,70";"102,85";"100,50";"100,85";"94.704,00"
"22.03.2019";"17:20";"102,95";"102,95";"102,60";"102,65";"8.844,00"
"22.03.2019";"17:15";"102,90";"103,40";"102,80";"102,95";"9.636,00"
"22.03.2019";"17:10";"103,00";"103,45";"102,95";"102,95";"8.222,00"
"22.03.2019";"17:05";"102,75";"103,15";"102,65";"103,05";"11.179,00"
"22.03.2019";"17:00";"103,00";"103,05";"102,55";"102,80";"9.547,00"
"22.03.2019";"16:55";"102,90";"103,20";"102,90";"103,00";"6.058,00"
"22.03.2019";"16:50";"103,20";"103,20";"102,90";"102,95";"2.628,00"
"22.03.2019";"16:45";"103,25";"103,50";"103,15";"103,35";"5.667,00"
"22.03.2019";"16:41";"103,15";"103,20";"102,70";"103,20";"14.199,00"
"22.03.2019";"16:35";"103,50";"103,50";"103,05";"103,20";"4.121,00"
"22.03.2019";"16:30";"103,50";"103,75";"103,40";"103,55";"2.987,00"
"22.03.2019";"16:25";"103,35";"103,70";"103,35";"103,50";"3.166,00"
"22.03.2019";"16:20";"103,55";"103,75";"103,30";"103,30";"5.302,00"
"22.03.2019";"16:15";"103,60";"103,75";"103,20";"103,55";"7.075,00"
"22.03.2019";"16:10";"104,05";"104,05";"103,45";"103,60";"13.375,00"
"22.03.2019";"16:05";"104,20";"104,20";"103,10";"103,95";"16.855,00"
"22.03.2019";"16:01";"104,25";"104,30";"104,15";"104,25";"3.637,00"
"22.03.2019";"15:55";"104,50";"104,50";"104,15";"104,20";"4.263,00"
"22.03.2019";"15:50";"104,80";"105,00";"104,45";"104,45";"14.638,00"
"22.03.2019";"15:45";"104,90";"104,90";"104,70";"104,80";"11.479,00"
"22.03.2019";"15:40";"104,45";"105,00";"104,35";"105,00";"9.793,00"
"22.03.2019";"15:35";"104,20";"104,45";"104,15";"104,45";"3.541,00"
"22.03.2019";"15:30";"104,45";"104,55";"104,10";"104,30";"10.844,00"
"22.03.2019";"15:25";"104,45";"104,90";"104,45";"104,50";"10.017,00"
"22.03.2019";"15:20";"104,30";"104,50";"104,20";"104,50";"5.219,00"
"22.03.2019";"15:15";"104,20";"104,40";"104,20";"104,20";"7.653,00"
"22.03.2019";"15:10";"104,10";"104,25";"104,10";"104,15";"4.659,00"
"22.03.2019";"15:05";"103,95";"104,20";"103,95";"104,20";"1.998,00"
"22.03.2019";"15:00";"104,00";"104,15";"103,90";"103,95";"1.834,00"
"22.03.2019";"14:55";"103,80";"104,15";"103,80";"103,90";"2.541,00"
"22.03.2019";"14:50";"104,00";"104,20";"103,80";"103,80";"3.718,00"
"22.03.2019";"14:45";"103,80";"104,15";"103,50";"104,15";"7.989,00"
"22.03.2019";"14:40";"103,50";"103,80";"103,50";"103,80";"1.742,00"
"22.03.2019";"14:35";"103,75";"103,80";"103,45";"103,55";"4.888,00"
"22.03.2019";"14:30";"103,65";"103,90";"103,65";"103,75";"3.187,00"
"22.03.2019";"14:25";"103,40";"103,65";"103,40";"103,65";"2.149,00"
"22.03.2019";"14:20";"103,40";"103,65";"103,30";"103,50";"5.120,00"
"22.03.2019";"14:15";"103,25";"103,50";"103,25";"103,30";"2.383,00"
"22.03.2019";"14:10";"103,30";"103,40";"103,25";"103,30";"1.291,00"
"22.03.2019";"14:05";"103,35";"103,35";"103,25";"103,25";"1.271,00"
"22.03.2019";"14:00";"103,30";"103,40";"103,20";"103,25";"1.382,00"
"22.03.2019";"13:55";"103,35";"103,45";"103,20";"103,20";"1.281,00"
"22.03.2019";"13:50";"103,40";"103,55";"103,30";"103,35";"1.667,00"
"22.03.2019";"13:45";"103,10";"103,45";"103,00";"103,35";"5.528,00"
"22.03.2019";"13:40";"103,25";"103,25";"103,10";"103,10";"1.260,00"
"22.03.2019";"13:35";"103,55";"103,55";"103,10";"103,20";"5.433,00"
"22.03.2019";"13:30";"103,55";"103,65";"103,45";"103,55";"1.831,00"
"22.03.2019";"13:25";"103,70";"103,70";"103,50";"103,65";"6.804,00"
"22.03.2019";"13:20";"103,70";"103,80";"103,65";"103,75";"4.490,00"
"22.03.2019";"13:15";"103,60";"103,95";"103,60";"103,75";"3.545,00"
"22.03.2019";"13:11";"103,75";"103,75";"103,50";"103,60";"2.146,00"
"22.03.2019";"13:05";"103,50";"104,30";"103,50";"103,75";"13.418,00"
"22.03.2019";"13:02";"103,40";"103,50";"103,30";"103,40";"14.380,00"
"22.03.2019";"12:55";"103,10";"103,25";"103,05";"103,25";"1.226,00"
"22.03.2019";"12:50";"103,50";"103,65";"103,05";"103,15";"6.553,00"
"22.03.2019";"12:45";"103,85";"104,05";"103,80";"103,80";"5.326,00"
"22.03.2019";"12:40";"103,85";"103,90";"103,65";"103,90";"5.781,00"
"22.03.2019";"12:35";"104,00";"104,05";"103,75";"103,80";"2.848,00"
"22.03.2019";"12:30";"104,25";"104,40";"103,80";"104,10";"5.508,00"
"22.03.2019";"12:25";"103,50";"104,25";"103,45";"104,25";"16.919,00"
"22.03.2019";"12:20";"103,25";"103,60";"103,25";"103,50";"2.582,00"
"22.03.2019";"12:15";"103,25";"103,45";"103,15";"103,25";"3.746,00"
"22.03.2019";"12:10";"103,60";"103,65";"103,25";"103,25";"2.383,00"
"22.03.2019";"12:05";"102,75";"103,55";"102,75";"103,55";"5.378,00"
"22.03.2019";"12:00";"102,75";"102,90";"102,70";"102,75";"1.978,00"
"22.03.2019";"11:55";"103,50";"103,50";"102,65";"102,65";"10.465,00"
"22.03.2019";"11:50";"103,55";"103,60";"103,35";"103,50";"1.491,00"
"22.03.2019";"11:45";"103,65";"103,85";"103,35";"103,55";"3.368,00"
"22.03.2019";"11:40";"103,40";"103,80";"103,25";"103,65";"2.605,00"
"22.03.2019";"11:35";"102,65";"103,50";"102,65";"103,45";"12.524,00"
"22.03.2019";"11:30";"102,45";"102,75";"102,35";"102,65";"2.756,00"
"22.03.2019";"11:25";"102,30";"102,50";"102,20";"102,45";"3.947,00"
"22.03.2019";"11:20";"102,10";"102,50";"102,05";"102,30";"4.663,00"
"22.03.2019";"11:15";"102,20";"102,20";"101,95";"102,20";"3.741,00"
"22.03.2019";"11:10";"101,85";"102,25";"101,80";"102,20";"4.778,00"
"22.03.2019";"11:05";"101,95";"102,00";"101,85";"101,95";"2.276,00"
"22.03.2019";"11:00";"101,90";"102,00";"101,80";"101,90";"6.874,00"
"22.03.2019";"10:55";"101,80";"101,90";"101,75";"101,90";"5.785,00"
"22.03.2019";"10:50";"101,70";"101,80";"101,65";"101,75";"2.637,00"
"22.03.2019";"10:45";"101,70";"101,75";"101,55";"101,65";"5.417,00"
"22.03.2019";"10:40";"101,95";"101,95";"101,70";"101,75";"4.354,00"
"22.03.2019";"10:35";"102,15";"102,20";"101,90";"101,95";"11.853,00"
"22.03.2019";"10:30";"102,45";"102,45";"102,20";"102,20";"3.656,00"
"22.03.2019";"10:25";"102,45";"102,60";"102,30";"102,45";"2.584,00"
"22.03.2019";"10:20";"102,30";"102,60";"102,30";"102,50";"6.903,00"
"22.03.2019";"10:15";"102,35";"102,60";"102,20";"102,35";"3.938,00"
"22.03.2019";"10:10";"102,50";"102,75";"102,15";"102,25";"6.959,00"
"22.03.2019";"10:05";"102,40";"102,75";"102,15";"102,50";"10.343,00"
"22.03.2019";"10:00";"101,50";"102,60";"101,50";"102,35";"20.052,00"
"22.03.2019";"09:55";"101,25";"101,75";"100,95";"101,60";"42.770,00"
"22.03.2019";"09:50";"103,00";"103,00";"101,25";"101,30";"45.303,00"

