"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"08.03.2019";"13:12";"23,365";"23,365";"23,365";"23,365";"0,00"
"08.03.2019";"12:02";"23,385";"23,385";"23,385";"23,385";"250,00"
"08.03.2019";"11:49";"23,385";"23,385";"23,385";"23,385";"80,00"
"08.03.2019";"11:17";"23,375";"23,38";"23,375";"23,375";"2.843,00"
"08.03.2019";"11:10";"23,36";"23,375";"23,36";"23,375";"955,00"
"08.03.2019";"10:33";"23,40";"23,40";"23,40";"23,40";"200,00"
"08.03.2019";"10:07";"23,405";"23,41";"23,405";"23,41";"267,00"
"08.03.2019";"09:56";"23,39";"23,39";"23,39";"23,39";"426,00"
"08.03.2019";"09:38";"23,39";"23,39";"23,39";"23,39";"82,00"
"08.03.2019";"09:04";"23,355";"23,355";"23,355";"23,355";"36,00"
"07.03.2019";"17:36";"23,485";"23,485";"23,485";"23,485";"13,00"
"07.03.2019";"17:26";"23,415";"23,425";"23,415";"23,425";"335,00"
"07.03.2019";"16:55";"23,38";"23,38";"23,38";"23,38";"5,00"
"07.03.2019";"15:57";"23,405";"23,405";"23,385";"23,385";"389,00"
"07.03.2019";"15:51";"23,395";"23,395";"23,395";"23,395";"70,00"
"07.03.2019";"15:36";"23,42";"23,42";"23,415";"23,415";"971,00"
"07.03.2019";"15:16";"23,385";"23,39";"23,385";"23,39";"317,00"
"07.03.2019";"13:34";"23,215";"23,215";"23,215";"23,215";"2,00"
"07.03.2019";"13:12";"23,225";"23,225";"23,225";"23,225";"0,00"
"07.03.2019";"12:05";"23,195";"23,195";"23,195";"23,195";"1.031,00"
"07.03.2019";"10:18";"23,225";"23,225";"23,225";"23,225";"3,00"
"07.03.2019";"09:54";"23,18";"23,18";"23,18";"23,18";"8,00"
"07.03.2019";"09:35";"23,20";"23,20";"23,20";"23,20";"51,00"
"07.03.2019";"09:04";"23,245";"23,245";"23,245";"23,245";"66,00"
"06.03.2019";"17:36";"23,265";"23,265";"23,265";"23,265";"0,00"
"06.03.2019";"17:12";"23,28";"23,28";"23,28";"23,28";"1,00"
"06.03.2019";"16:43";"23,265";"23,265";"23,265";"23,265";"41,00"
"06.03.2019";"16:29";"23,305";"23,305";"23,305";"23,305";"8,00"
"06.03.2019";"16:19";"23,265";"23,265";"23,265";"23,265";"2,00"
"06.03.2019";"15:56";"23,285";"23,285";"23,285";"23,285";"476,00"
"06.03.2019";"15:53";"23,30";"23,30";"23,30";"23,30";"280,00"
"06.03.2019";"15:43";"23,295";"23,30";"23,295";"23,30";"389,00"
"06.03.2019";"15:36";"23,27";"23,27";"23,27";"23,27";"1.044,00"
"06.03.2019";"14:56";"23,315";"23,315";"23,315";"23,315";"85,00"
"06.03.2019";"13:12";"23,29";"23,29";"23,29";"23,29";"0,00"
"06.03.2019";"12:34";"23,30";"23,30";"23,30";"23,30";"149,00"
"06.03.2019";"10:59";"23,30";"23,30";"23,30";"23,30";"48,00"
"06.03.2019";"10:49";"23,305";"23,305";"23,305";"23,305";"189,00"
"06.03.2019";"10:42";"23,29";"23,29";"23,29";"23,29";"24,00"
"06.03.2019";"09:16";"23,29";"23,29";"23,27";"23,27";"12.000,00"
"06.03.2019";"09:04";"23,32";"23,32";"23,32";"23,32";"99,00"
"05.03.2019";"17:36";"23,345";"23,345";"23,345";"23,345";"0,00"
