"Datum";"Zeit";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"05.04.2019";"17:35";"102,50";"102,50";"102,50";"102,50";"1.264.209,00"
"05.04.2019";"17:25";"102,40";"102,42";"102,32";"102,40";"18.898,00"
"05.04.2019";"17:20";"102,40";"102,40";"102,36";"102,40";"13.660,00"
"05.04.2019";"17:15";"102,46";"102,54";"102,38";"102,38";"29.513,00"
"05.04.2019";"17:10";"102,50";"102,56";"102,48";"102,48";"9.010,00"
"05.04.2019";"17:05";"102,40";"102,52";"102,38";"102,50";"12.497,00"
"05.04.2019";"17:00";"102,34";"102,42";"102,34";"102,38";"21.007,00"
"05.04.2019";"16:55";"102,50";"102,50";"102,34";"102,36";"10.124,00"
"05.04.2019";"16:50";"102,46";"102,50";"102,42";"102,46";"10.801,00"
"05.04.2019";"16:45";"102,38";"102,48";"102,38";"102,44";"4.327,00"
"05.04.2019";"16:40";"102,48";"102,48";"102,34";"102,36";"17.545,00"
"05.04.2019";"16:35";"102,46";"102,48";"102,42";"102,48";"13.640,00"
"05.04.2019";"16:30";"102,42";"102,46";"102,38";"102,46";"7.228,00"
"05.04.2019";"16:25";"102,36";"102,40";"102,32";"102,40";"14.047,00"
"05.04.2019";"16:20";"102,34";"102,36";"102,30";"102,34";"10.209,00"
"05.04.2019";"16:15";"102,34";"102,38";"102,32";"102,32";"12.069,00"
"05.04.2019";"16:10";"102,34";"102,38";"102,28";"102,38";"13.360,00"
"05.04.2019";"16:05";"102,32";"102,38";"102,30";"102,32";"9.530,00"
"05.04.2019";"16:00";"102,18";"102,32";"102,10";"102,28";"20.607,00"
"05.04.2019";"15:55";"102,28";"102,32";"102,10";"102,16";"29.088,00"
"05.04.2019";"15:50";"102,34";"102,34";"102,22";"102,26";"14.232,00"
"05.04.2019";"15:45";"102,46";"102,52";"102,30";"102,36";"27.494,00"
"05.04.2019";"15:40";"102,42";"102,48";"102,38";"102,46";"18.119,00"
"05.04.2019";"15:35";"102,10";"102,44";"102,08";"102,42";"34.898,00"
"05.04.2019";"15:30";"102,06";"102,12";"102,02";"102,10";"16.804,00"
"05.04.2019";"15:25";"102,04";"102,08";"102,04";"102,04";"6.270,00"
"05.04.2019";"15:20";"102,00";"102,06";"101,98";"102,06";"5.186,00"
"05.04.2019";"15:15";"101,98";"102,02";"101,96";"102,02";"6.923,00"
"05.04.2019";"15:10";"102,00";"102,00";"101,94";"101,96";"11.862,00"
"05.04.2019";"15:05";"102,08";"102,08";"101,98";"102,00";"7.576,00"
"05.04.2019";"15:00";"102,00";"102,08";"101,98";"102,08";"5.476,00"
"05.04.2019";"14:55";"102,04";"102,04";"101,92";"101,98";"13.717,00"
"05.04.2019";"14:50";"102,20";"102,20";"101,98";"102,02";"15.660,00"
"05.04.2019";"14:45";"102,26";"102,26";"102,20";"102,20";"16.939,00"
"05.04.2019";"14:40";"102,24";"102,30";"102,22";"102,26";"3.966,00"
"05.04.2019";"14:35";"102,32";"102,32";"102,20";"102,22";"14.776,00"
"05.04.2019";"14:30";"102,20";"102,34";"102,20";"102,30";"16.323,00"
"05.04.2019";"14:25";"102,14";"102,20";"102,06";"102,20";"11.047,00"
"05.04.2019";"14:20";"102,14";"102,16";"102,10";"102,12";"10.877,00"
"05.04.2019";"14:15";"102,18";"102,20";"102,10";"102,14";"14.896,00"
"05.04.2019";"14:10";"102,22";"102,22";"102,18";"102,20";"2.639,00"
"05.04.2019";"14:05";"102,30";"102,30";"102,20";"102,22";"9.926,00"
"05.04.2019";"14:00";"102,14";"102,34";"102,14";"102,30";"9.346,00"
"05.04.2019";"13:56";"102,32";"102,34";"102,06";"102,10";"35.334,00"
"05.04.2019";"13:50";"102,24";"102,34";"102,24";"102,34";"5.886,00"
"05.04.2019";"13:45";"102,38";"102,42";"102,24";"102,26";"11.685,00"
"05.04.2019";"13:40";"102,40";"102,42";"102,36";"102,36";"3.219,00"
"05.04.2019";"13:35";"102,46";"102,50";"102,42";"102,42";"9.853,00"
"05.04.2019";"13:30";"102,46";"102,50";"102,44";"102,46";"5.014,00"
"05.04.2019";"13:25";"102,60";"102,60";"102,44";"102,44";"10.909,00"
"05.04.2019";"13:20";"102,56";"102,62";"102,56";"102,60";"5.468,00"
"05.04.2019";"13:15";"102,40";"102,56";"102,40";"102,56";"11.351,00"
"05.04.2019";"13:11";"102,40";"102,44";"102,36";"102,42";"7.304,00"
"05.04.2019";"13:05";"102,24";"102,38";"102,24";"102,38";"4.697,00"
"05.04.2019";"13:00";"102,28";"102,34";"102,24";"102,24";"71.128,00"
"05.04.2019";"12:55";"102,28";"102,28";"102,22";"102,26";"5.213,00"
"05.04.2019";"12:50";"102,30";"102,30";"102,24";"102,28";"4.313,00"
"05.04.2019";"12:45";"102,20";"102,30";"102,20";"102,28";"14.360,00"
"05.04.2019";"12:40";"102,22";"102,22";"102,18";"102,20";"3.355,00"
"05.04.2019";"12:35";"102,18";"102,26";"102,16";"102,22";"7.272,00"
"05.04.2019";"12:30";"102,14";"102,20";"102,12";"102,16";"8.008,00"
"05.04.2019";"12:25";"101,96";"102,14";"101,96";"102,14";"11.219,00"
"05.04.2019";"12:20";"101,98";"102,00";"101,96";"101,96";"5.595,00"
"05.04.2019";"12:15";"101,98";"102,00";"101,96";"101,98";"9.542,00"
"05.04.2019";"12:10";"102,08";"102,08";"101,94";"101,94";"7.252,00"
"05.04.2019";"12:05";"101,98";"102,08";"101,94";"102,08";"7.742,00"
"05.04.2019";"12:01";"102,04";"102,08";"101,94";"101,94";"7.694,00"
"05.04.2019";"11:55";"102,08";"102,12";"102,04";"102,08";"16.896,00"
