"Datum";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"08.03.2019";"94,34";"104,88";"94,28";"102,50";"48.798.504,00"
"08.02.2019";"90,55";"95,98";"90,55";"95,32";"34.457.968,00"
"08.01.2019";"86,75";"93,92";"86,66";"90,96";"55.768.780,00"
"10.12.2018";"88,40";"91,77";"83,95";"86,62";"47.578.131,00"
"08.11.2018";"95,00";"95,33";"86,21";"88,67";"59.954.325,00"
"08.10.2018";"104,22";"104,30";"89,29";"94,62";"72.387.787,00"
"10.09.2018";"100,56";"108,52";"100,42";"104,22";"45.426.616,00"
"08.08.2018";"99,40";"104,96";"98,04";"100,56";"41.582.417,00"
"09.07.2018";"100,00";"105,08";"98,54";"99,39";"47.649.601,00"
"08.06.2018";"99,17";"105,28";"96,77";"99,45";"60.684.619,00"
"08.05.2018";"96,00";"99,99";"94,76";"99,62";"58.412.981,00"
"09.04.2018";"87,06";"96,28";"85,83";"96,00";"54.850.439,00"
"08.03.2018";"86,56";"89,38";"82,52";"86,47";"69.179.006,00"
"08.02.2018";"85,52";"86,99";"82,05";"86,68";"67.437.942,00"
"08.01.2018";"96,88";"96,97";"83,50";"86,28";"71.572.835,00"
"08.12.2017";"96,11";"98,84";"92,12";"96,44";"39.641.459,00"
"08.11.2017";"98,90";"99,25";"92,81";"95,11";"42.269.576,00"
"09.10.2017";"94,50";"100,70";"92,27";"98,49";"42.924.170,00"
"08.09.2017";"89,92";"94,58";"89,51";"94,30";"37.119.478,00"
"08.08.2017";"90,22";"91,20";"86,24";"90,11";"39.073.511,00"
"10.07.2017";"90,94";"92,13";"88,48";"90,66";"46.792.776,00"
"08.06.2017";"95,44";"96,34";"89,25";"90,36";"50.542.099,00"
"08.05.2017";"93,70";"96,38";"92,96";"95,26";"39.104.080,00"
"10.04.2017";"92,27";"94,22";"90,12";"93,84";"35.088.175,00"
"08.03.2017";"88,62";"92,98";"88,41";"91,79";"47.390.879,00"
"08.02.2017";"85,67";"89,83";"85,13";"89,16";"34.721.007,00"
"09.01.2017";"84,39";"86,12";"81,92";"85,40";"44.773.110,00"
"08.12.2016";"78,64";"83,74";"78,04";"83,66";"41.429.048,00"
"08.11.2016";"78,50";"81,40";"75,07";"78,14";"54.116.091,00"
"10.10.2016";"80,03";"82,57";"76,19";"78,30";"44.812.399,00"
"08.09.2016";"80,88";"82,60";"76,91";"80,13";"48.527.476,00"
"08.08.2016";"78,17";"81,15";"76,70";"80,66";"35.882.407,00"
"08.07.2016";"67,39";"79,15";"67,33";"77,65";"52.406.712,00"
"08.06.2016";"71,95";"72,02";"64,94";"67,40";"69.212.322,00"
"09.05.2016";"67,90";"73,29";"67,04";"72,37";"44.357.744,00"
"08.04.2016";"67,71";"72,11";"65,76";"67,37";"57.574.081,00"
"08.03.2016";"69,00";"72,16";"67,86";"68,19";"53.189.793,00"
"08.02.2016";"67,99";"71,81";"64,62";"69,57";"62.009.926,00"
"08.01.2016";"71,90";"74,79";"67,61";"67,96";"78.509.124,00"
"08.12.2015";"72,75";"74,27";"69,37";"71,34";"62.858.286,00"
"09.11.2015";"73,35";"75,75";"71,23";"72,85";"57.358.721,00"
"08.10.2015";"59,36";"74,17";"58,98";"73,14";"71.581.620,00"
"08.09.2015";"58,68";"60,24";"55,51";"59,49";"70.643.682,00"
"10.08.2015";"65,72";"66,49";"53,91";"58,46";"68.807.791,00"
"08.07.2015";"61,66";"69,45";"61,55";"65,54";"57.179.883,00"
"08.06.2015";"66,10";"67,25";"60,90";"61,29";"71.045.052,00"
"08.05.2015";"67,00";"69,38";"65,99";"66,31";"64.853.533,00"
"08.04.2015";"67,82";"70,81";"65,21";"67,18";"71.215.012,00"
"09.03.2015";"63,03";"68,19";"62,18";"67,70";"67.538.412,00"
"09.02.2015";"58,67";"63,78";"58,29";"63,47";"50.354.370,00"
"08.01.2015";"55,50";"59,80";"53,63";"59,20";"93.559.091,00"
"08.12.2014";"56,79";"59,00";"53,01";"54,87";"65.284.863,00"
"10.11.2014";"53,21";"57,58";"52,86";"56,94";"55.656.054,00"
"08.10.2014";"54,97";"55,71";"50,08";"53,60";"101.532.213,00"
"08.09.2014";"60,15";"60,72";"55,50";"55,92";"62.529.197,00"
"08.08.2014";"56,68";"60,33";"56,31";"59,96";"45.365.785,00"
"08.07.2014";"57,87";"61,63";"56,64";"57,45";"70.294.537,00"
"09.06.2014";"55,16";"58,37";"54,95";"57,94";"51.636.137,00"
"08.05.2014";"56,06";"56,54";"54,32";"55,15";"59.061.411,00"
"08.04.2014";"58,16";"58,99";"55,90";"56,05";"51.986.224,00"
"07.04.2014";"58,36";"58,58";"58,01";"58,17";"2.336.596,00"
