"Datum";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"05.04.2019";"102,92";"102,98";"101,68";"102,50";"2.909.137,00"
"04.04.2019";"104,18";"104,88";"103,64";"103,64";"2.248.473,00"
"03.04.2019";"103,68";"104,18";"103,32";"103,84";"2.029.689,00"
"02.04.2019";"103,20";"103,50";"102,88";"103,10";"1.546.912,00"
"01.04.2019";"103,00";"103,64";"102,82";"103,00";"2.084.518,00"
"29.03.2019";"102,18";"103,40";"102,06";"103,00";"2.495.406,00"
"28.03.2019";"100,52";"102,06";"100,50";"101,44";"2.113.641,00"
"27.03.2019";"100,96";"101,28";"100,04";"100,24";"2.139.758,00"
"26.03.2019";"99,00";"100,86";"98,85";"100,86";"2.169.402,00"
"25.03.2019";"97,90";"98,89";"97,36";"98,64";"1.708.697,00"
"22.03.2019";"100,40";"100,94";"98,62";"98,68";"2.673.512,00"
"21.03.2019";"100,04";"100,28";"99,06";"100,10";"1.783.181,00"
"20.03.2019";"100,24";"100,80";"99,83";"100,10";"2.488.618,00"
"19.03.2019";"99,00";"100,22";"98,75";"100,14";"1.780.112,00"
"18.03.2019";"99,60";"99,68";"98,37";"98,85";"1.649.618,00"
"15.03.2019";"97,54";"99,40";"97,10";"99,35";"7.301.998,00"
"14.03.2019";"96,08";"97,16";"95,98";"97,00";"2.086.930,00"
"13.03.2019";"95,70";"96,66";"95,57";"96,40";"2.514.742,00"
"12.03.2019";"96,00";"96,00";"95,04";"95,60";"1.650.259,00"
"11.03.2019";"95,75";"95,96";"94,74";"95,84";"1.538.735,00"
"08.03.2019";"94,34";"95,69";"94,28";"95,60";"1.885.166,00"
"07.03.2019";"95,16";"95,98";"94,59";"95,32";"2.153.180,00"
"06.03.2019";"95,10";"95,95";"94,96";"95,20";"1.288.079,00"
"05.03.2019";"94,46";"95,44";"94,38";"95,37";"1.384.275,00"
"04.03.2019";"95,86";"95,90";"94,65";"94,68";"1.175.316,00"
"01.03.2019";"94,37";"95,01";"94,31";"94,89";"1.749.562,00"
"28.02.2019";"92,68";"94,26";"92,60";"94,20";"2.136.184,00"
"27.02.2019";"94,04";"94,43";"93,32";"93,81";"1.573.766,00"
"26.02.2019";"93,95";"94,65";"93,51";"94,52";"1.892.686,00"
"25.02.2019";"95,89";"95,90";"94,69";"94,98";"1.484.217,00"
"22.02.2019";"95,02";"95,72";"94,81";"95,41";"1.779.721,00"
"21.02.2019";"94,23";"94,88";"94,20";"94,77";"1.638.640,00"
"20.02.2019";"93,94";"94,63";"93,92";"94,45";"1.407.318,00"
"19.02.2019";"94,12";"95,03";"93,63";"94,02";"1.457.972,00"
"18.02.2019";"94,60";"94,75";"94,06";"94,21";"1.102.954,00"
"15.02.2019";"93,23";"94,99";"92,68";"94,30";"2.376.135,00"
"14.02.2019";"94,20";"94,56";"93,40";"93,56";"1.830.496,00"
"13.02.2019";"93,39";"94,09";"92,39";"93,36";"1.827.525,00"
"12.02.2019";"93,00";"93,37";"92,28";"92,40";"1.583.096,00"
"11.02.2019";"91,70";"92,97";"91,50";"92,47";"1.673.416,00"
"08.02.2019";"90,55";"92,34";"90,55";"91,66";"2.943.430,00"
"07.02.2019";"92,50";"93,10";"90,96";"90,96";"2.733.040,00"
"06.02.2019";"92,90";"93,42";"92,70";"92,91";"1.702.651,00"
"05.02.2019";"90,85";"92,98";"90,59";"92,90";"2.828.222,00"
"04.02.2019";"90,02";"90,97";"89,92";"90,97";"2.067.963,00"
"01.02.2019";"90,60";"91,08";"89,96";"90,79";"2.575.854,00"
"31.01.2019";"89,85";"90,25";"89,00";"90,25";"3.122.480,00"
"30.01.2019";"89,11";"89,85";"88,41";"88,83";"2.825.191,00"
"29.01.2019";"90,30";"91,39";"89,56";"89,81";"4.616.496,00"
"28.01.2019";"92,60";"92,98";"92,09";"92,36";"2.371.917,00"
"25.01.2019";"93,62";"93,92";"92,66";"92,66";"2.454.815,00"
"24.01.2019";"91,49";"93,15";"91,48";"92,49";"2.628.840,00"
"23.01.2019";"90,62";"92,30";"90,53";"91,60";"2.132.694,00"
"22.01.2019";"91,00";"92,29";"90,75";"91,36";"1.965.756,00"
"21.01.2019";"93,41";"93,43";"91,97";"91,97";"1.522.697,00"
"18.01.2019";"91,20";"93,33";"90,91";"93,10";"3.671.131,00"
"17.01.2019";"89,11";"90,68";"88,97";"90,48";"2.060.735,00"
"16.01.2019";"89,68";"89,92";"88,93";"89,47";"1.513.735,00"
"15.01.2019";"89,00";"89,47";"87,89";"89,30";"1.905.013,00"
"14.01.2019";"88,16";"88,28";"87,58";"88,07";"1.946.280,00"
"11.01.2019";"88,31";"89,41";"88,22";"89,00";"2.013.311,00"
"10.01.2019";"88,71";"89,70";"88,33";"89,44";"1.786.188,00"
"09.01.2019";"88,35";"89,85";"88,02";"89,18";"2.651.554,00"
"08.01.2019";"86,75";"88,81";"86,66";"87,97";"2.672.217,00"
"07.01.2019";"87,20";"87,20";"86,04";"86,62";"2.200.325,00"
"04.01.2019";"84,75";"86,78";"84,04";"86,44";"3.606.453,00"
"03.01.2019";"85,50";"85,76";"83,95";"84,31";"3.051.656,00"
"02.01.2019";"87,00";"87,40";"85,69";"87,01";"2.177.418,00"
"28.12.2018";"86,33";"87,53";"86,00";"86,93";"1.758.428,00"
"27.12.2018";"86,80";"87,14";"84,68";"85,79";"3.073.209,00"
"21.12.2018";"87,50";"87,98";"85,70";"86,42";"6.980.413,00"
"20.12.2018";"87,78";"88,94";"87,43";"87,77";"3.259.932,00"
"19.12.2018";"87,90";"89,57";"87,71";"89,22";"2.824.088,00"
"18.12.2018";"88,59";"89,12";"87,73";"87,75";"3.124.694,00"
"17.12.2018";"89,64";"89,82";"87,78";"88,66";"2.409.088,00"
"14.12.2018";"89,70";"90,43";"89,10";"89,94";"2.384.483,00"
"13.12.2018";"91,39";"91,65";"90,18";"90,78";"2.510.159,00"
"12.12.2018";"90,26";"91,77";"89,81";"91,23";"2.703.787,00"
"11.12.2018";"89,45";"90,92";"89,03";"89,85";"2.525.355,00"
"10.12.2018";"88,40";"89,85";"88,25";"88,46";"2.988.643,00"
"07.12.2018";"88,72";"90,64";"88,67";"88,67";"3.047.776,00"
"06.12.2018";"88,80";"89,17";"87,47";"87,92";"3.685.357,00"
"05.12.2018";"90,69";"90,87";"89,88";"90,31";"2.195.229,00"
"04.12.2018";"92,02";"92,65";"91,72";"91,95";"2.103.533,00"
"03.12.2018";"92,67";"93,14";"92,29";"92,51";"2.710.017,00"
"30.11.2018";"91,59";"91,99";"90,83";"90,92";"2.860.293,00"
"29.11.2018";"92,04";"92,35";"91,04";"91,10";"2.404.207,00"
"28.11.2018";"90,62";"91,33";"90,38";"90,83";"2.129.459,00"
"27.11.2018";"90,24";"90,62";"89,21";"90,19";"1.790.771,00"
"26.11.2018";"90,00";"90,53";"89,65";"90,00";"2.209.319,00"
"23.11.2018";"88,28";"89,65";"87,92";"89,35";"1.970.967,00"
"22.11.2018";"89,05";"89,43";"88,24";"88,52";"2.000.725,00"
"21.11.2018";"88,69";"89,65";"88,15";"89,30";"2.427.612,00"
"20.11.2018";"87,83";"89,12";"86,21";"88,04";"3.398.817,00"
"19.11.2018";"92,00";"92,37";"88,51";"88,95";"3.119.886,00"
"16.11.2018";"92,91";"93,18";"90,74";"91,70";"3.342.852,00"
"15.11.2018";"92,49";"92,81";"91,20";"92,15";"2.184.225,00"
"14.11.2018";"91,35";"93,28";"90,40";"91,94";"2.432.761,00"
"13.11.2018";"90,03";"92,31";"90,03";"91,88";"4.237.369,00"
"12.11.2018";"93,43";"93,50";"89,78";"89,80";"5.416.689,00"
"09.11.2018";"94,08";"95,33";"93,94";"95,17";"2.394.966,00"
"08.11.2018";"95,00";"95,27";"94,04";"94,33";"1.891.495,00"
"07.11.2018";"93,40";"94,82";"93,20";"94,62";"1.936.607,00"
"06.11.2018";"93,72";"94,17";"92,73";"93,42";"2.045.445,00"
"05.11.2018";"94,19";"94,96";"93,59";"93,78";"1.560.961,00"
"02.11.2018";"95,28";"95,50";"93,76";"94,39";"2.747.881,00"
"01.11.2018";"94,39";"95,11";"92,94";"93,46";"2.660.127,00"
"31.10.2018";"93,80";"95,37";"93,15";"94,66";"3.823.539,00"
"30.10.2018";"92,98";"93,29";"91,38";"92,61";"2.284.718,00"
"29.10.2018";"93,21";"93,90";"92,19";"92,63";"2.365.079,00"
"26.10.2018";"92,48";"93,03";"90,56";"92,99";"3.687.425,00"
"25.10.2018";"90,03";"93,80";"89,29";"93,68";"3.499.846,00"
"24.10.2018";"93,23";"94,13";"91,62";"91,68";"2.717.364,00"
"23.10.2018";"93,75";"93,93";"91,84";"92,60";"3.639.614,00"
"22.10.2018";"96,62";"96,71";"94,57";"94,99";"2.354.282,00"
"19.10.2018";"94,33";"96,10";"93,14";"95,30";"5.046.374,00"
"18.10.2018";"96,90";"98,87";"94,38";"94,38";"6.853.511,00"
"17.10.2018";"102,28";"102,92";"99,61";"100,34";"2.842.051,00"
"16.10.2018";"98,01";"101,02";"97,44";"100,96";"2.823.038,00"
"15.10.2018";"98,54";"98,67";"96,93";"98,01";"2.063.137,00"
"12.10.2018";"99,13";"99,89";"97,43";"98,07";"4.027.769,00"
"11.10.2018";"95,55";"98,78";"94,14";"97,08";"5.210.537,00"
"10.10.2018";"103,80";"103,96";"98,71";"98,71";"3.586.189,00"
"09.10.2018";"102,58";"104,30";"101,98";"103,80";"2.391.236,00"
"08.10.2018";"104,22";"104,24";"101,72";"102,04";"2.221.057,00"
"05.10.2018";"106,08";"106,12";"104,22";"104,22";"2.027.373,00"
"04.10.2018";"105,66";"106,90";"105,06";"106,08";"2.271.727,00"
"02.10.2018";"106,18";"107,02";"105,22";"106,06";"2.078.430,00"
"01.10.2018";"106,02";"106,80";"105,68";"106,68";"1.526.744,00"
"28.09.2018";"107,52";"108,34";"105,64";"106,00";"3.050.317,00"
"27.09.2018";"107,72";"108,16";"106,92";"107,80";"1.913.077,00"
"26.09.2018";"107,44";"108,52";"107,02";"107,80";"2.430.653,00"
"25.09.2018";"103,68";"107,14";"103,38";"107,00";"2.469.719,00"
"24.09.2018";"103,52";"104,10";"102,90";"103,46";"2.071.834,00"
"21.09.2018";"101,90";"104,10";"101,72";"104,10";"7.407.942,00"
"20.09.2018";"102,08";"102,08";"100,88";"101,64";"2.872.169,00"
"19.09.2018";"103,00";"103,00";"101,94";"102,14";"1.676.623,00"
"18.09.2018";"102,00";"103,20";"101,58";"103,20";"2.157.780,00"
"17.09.2018";"104,20";"104,20";"102,40";"102,90";"2.062.722,00"
"14.09.2018";"104,18";"104,28";"103,42";"104,20";"1.507.865,00"
"13.09.2018";"103,82";"104,62";"103,54";"103,70";"1.947.300,00"
"12.09.2018";"103,06";"104,20";"102,92";"104,20";"1.737.934,00"
"11.09.2018";"102,34";"103,00";"101,62";"102,84";"1.944.390,00"
"10.09.2018";"100,56";"102,02";"100,42";"101,98";"2.272.017,00"
"07.09.2018";"99,48";"100,56";"99,31";"100,56";"2.801.851,00"
"06.09.2018";"98,98";"100,12";"98,57";"98,76";"2.436.139,00"
"05.09.2018";"101,92";"102,36";"99,22";"99,22";"2.784.927,00"
"04.09.2018";"103,80";"103,98";"101,76";"102,40";"1.807.374,00"
"03.09.2018";"103,02";"103,76";"102,94";"103,64";"915.510,00"
"31.08.2018";"103,94";"103,94";"102,74";"103,62";"2.190.787,00"
"30.08.2018";"104,20";"104,50";"103,22";"104,28";"1.784.078,00"
"29.08.2018";"104,70";"104,88";"104,24";"104,54";"1.319.862,00"
"28.08.2018";"104,96";"104,96";"104,30";"104,44";"1.526.664,00"
"27.08.2018";"104,30";"104,90";"104,14";"104,70";"1.166.752,00"
"24.08.2018";"103,54";"103,98";"103,10";"103,98";"1.244.897,00"
"23.08.2018";"102,70";"103,94";"102,70";"103,54";"1.452.137,00"
"22.08.2018";"102,14";"102,86";"101,92";"102,54";"1.313.977,00"
"21.08.2018";"102,22";"102,90";"102,08";"102,32";"1.413.522,00"
"20.08.2018";"101,82";"103,12";"101,76";"102,60";"1.315.440,00"
"17.08.2018";"101,98";"102,08";"100,94";"101,98";"1.753.722,00"
"16.08.2018";"100,12";"102,42";"100,04";"102,06";"2.664.013,00"
"15.08.2018";"100,64";"101,16";"99,06";"99,30";"2.300.498,00"
"14.08.2018";"100,76";"101,00";"99,65";"100,36";"1.429.034,00"
"13.08.2018";"99,09";"100,82";"98,99";"100,10";"1.904.698,00"
"10.08.2018";"99,63";"99,76";"98,04";"98,65";"2.870.713,00"
"09.08.2018";"100,00";"100,64";"99,30";"100,30";"1.372.980,00"
"08.08.2018";"99,40";"100,74";"99,21";"100,38";"1.812.842,00"
"07.08.2018";"100,60";"101,06";"99,38";"99,39";"1.826.797,00"
"06.08.2018";"100,14";"100,96";"99,27";"99,86";"1.550.121,00"
"03.08.2018";"99,19";"99,88";"99,03";"99,77";"1.630.363,00"
"02.08.2018";"99,13";"99,58";"98,54";"99,09";"2.235.056,00"
"01.08.2018";"99,75";"100,04";"99,02";"99,54";"1.898.971,00"
"31.07.2018";"100,20";"100,34";"99,16";"99,85";"2.727.085,00"
"30.07.2018";"102,50";"102,86";"100,20";"100,20";"1.620.245,00"
"27.07.2018";"103,52";"104,06";"102,94";"103,14";"1.794.644,00"
"26.07.2018";"101,66";"103,24";"101,66";"103,24";"2.587.040,00"
"25.07.2018";"100,50";"101,32";"100,34";"101,00";"1.845.506,00"
"24.07.2018";"100,18";"101,86";"99,66";"100,90";"2.233.043,00"
"23.07.2018";"99,58";"100,10";"99,43";"99,64";"1.873.272,00"
"20.07.2018";"101,52";"102,40";"99,57";"99,99";"4.663.920,00"
"19.07.2018";"103,90";"104,26";"100,80";"100,98";"3.850.730,00"
"18.07.2018";"104,50";"105,08";"104,04";"104,68";"2.078.557,00"
"17.07.2018";"102,80";"103,88";"101,66";"103,80";"1.943.590,00"
"16.07.2018";"102,78";"103,30";"102,04";"102,64";"1.273.286,00"
"13.07.2018";"102,86";"103,38";"101,84";"102,78";"2.000.564,00"
"12.07.2018";"100,92";"101,92";"100,58";"101,88";"1.746.937,00"
"11.07.2018";"101,44";"101,44";"100,04";"100,48";"2.231.014,00"
"10.07.2018";"101,62";"102,26";"100,82";"102,18";"1.898.444,00"
"09.07.2018";"100,00";"101,50";"99,69";"101,38";"2.140.416,00"
"06.07.2018";"99,95";"99,98";"98,72";"99,45";"2.184.204,00"
"05.07.2018";"97,92";"99,26";"97,74";"99,17";"2.242.900,00"
"04.07.2018";"98,76";"98,80";"97,54";"97,81";"1.490.026,00"
"03.07.2018";"99,18";"99,92";"98,83";"99,06";"1.869.784,00"
