"Datum";"Zeit";"Eröffnung";"Hoch";"Tief";"Schluss";"Volumen"
"26.03.2019";"17:35";"125,00";"125,00";"125,00";"125,00";"226.784,00"
"26.03.2019";"17:25";"124,30";"125,15";"124,25";"124,85";"55.370,00"
"26.03.2019";"17:20";"124,90";"125,25";"124,30";"124,35";"69.348,00"
"26.03.2019";"17:15";"124,15";"124,85";"124,15";"124,85";"35.181,00"
"26.03.2019";"17:10";"123,70";"124,30";"123,55";"124,20";"25.877,00"
"26.03.2019";"17:05";"123,50";"123,90";"123,45";"123,60";"25.692,00"
"26.03.2019";"17:00";"123,50";"123,65";"123,05";"123,50";"18.207,00"
"26.03.2019";"16:55";"123,20";"123,55";"123,05";"123,50";"14.092,00"
"26.03.2019";"16:50";"123,55";"123,60";"123,00";"123,10";"25.908,00"
"26.03.2019";"16:45";"123,55";"123,80";"123,30";"123,55";"13.783,00"
"26.03.2019";"16:40";"123,50";"124,00";"123,40";"123,55";"17.651,00"
"26.03.2019";"16:35";"122,90";"123,70";"122,75";"123,50";"22.562,00"
"26.03.2019";"16:30";"123,55";"123,70";"122,65";"123,00";"28.543,00"
"26.03.2019";"16:25";"124,00";"124,20";"123,20";"123,60";"23.301,00"
"26.03.2019";"16:20";"124,30";"124,80";"123,90";"123,90";"27.928,00"
"26.03.2019";"16:15";"124,55";"124,80";"124,00";"124,30";"23.828,00"
"26.03.2019";"16:10";"124,40";"124,60";"123,80";"124,55";"17.398,00"
"26.03.2019";"16:05";"124,75";"124,90";"124,00";"124,35";"38.409,00"
"26.03.2019";"16:00";"124,50";"124,80";"124,15";"124,80";"32.229,00"
"26.03.2019";"15:55";"123,45";"124,70";"123,45";"124,70";"33.612,00"
"26.03.2019";"15:50";"124,15";"124,50";"122,70";"123,45";"40.316,00"
"26.03.2019";"15:45";"125,10";"125,10";"124,10";"124,20";"28.721,00"
"26.03.2019";"15:40";"123,30";"125,35";"122,90";"124,90";"59.394,00"
"26.03.2019";"15:35";"124,50";"124,50";"122,00";"123,30";"113.170,00"
"26.03.2019";"15:30";"125,40";"125,70";"124,00";"124,50";"50.154,00"
"26.03.2019";"15:25";"125,85";"126,50";"124,65";"125,35";"54.283,00"
"26.03.2019";"15:20";"125,55";"125,90";"123,50";"125,90";"84.144,00"
"26.03.2019";"15:15";"125,70";"127,50";"125,25";"125,60";"103.764,00"
"26.03.2019";"15:10";"125,15";"126,20";"125,00";"125,60";"65.008,00"
"26.03.2019";"15:05";"124,30";"125,50";"124,00";"125,20";"75.981,00"
"26.03.2019";"15:00";"125,15";"125,15";"123,75";"124,30";"70.200,00"
"26.03.2019";"14:57";"125,30";"126,00";"124,25";"125,20";"100.871,00"
"26.03.2019";"14:50";"123,50";"125,40";"123,00";"125,40";"113.981,00"
