"Datum";"Zeit";"Er�ffnung";"Hoch";"Tief";"Schluss";"Volumen"
"18.03.2019";"10:50";"107,70";"107,70";"107,10";"107,15";"9.145,00"
"18.03.2019";"10:45";"107,70";"107,95";"107,65";"107,75";"3.402,00"
"18.03.2019";"10:40";"107,40";"108,00";"107,40";"107,80";"5.387,00"
"18.03.2019";"10:35";"107,65";"107,75";"107,15";"107,40";"5.052,00"
"18.03.2019";"10:30";"107,05";"107,80";"107,05";"107,65";"5.235,00"
"18.03.2019";"10:25";"107,90";"108,00";"107,00";"107,25";"30.267,00"
"18.03.2019";"10:20";"107,55";"108,00";"107,50";"107,85";"13.566,00"
"18.03.2019";"10:15";"108,15";"108,40";"107,45";"107,60";"14.605,00"
"18.03.2019";"10:10";"108,05";"108,30";"107,95";"108,20";"7.057,00"
"18.03.2019";"10:05";"107,95";"108,30";"107,80";"108,00";"4.663,00"
"18.03.2019";"10:00";"108,20";"108,20";"107,65";"107,85";"8.620,00"
"18.03.2019";"09:55";"107,60";"108,40";"107,60";"108,25";"12.067,00"
"18.03.2019";"09:50";"107,20";"107,85";"107,20";"107,70";"10.036,00"
"18.03.2019";"09:45";"107,25";"107,50";"107,10";"107,20";"10.269,00"
"18.03.2019";"09:40";"107,20";"107,40";"106,85";"107,25";"5.265,00"
"18.03.2019";"09:35";"106,60";"107,35";"106,60";"107,00";"12.573,00"
"18.03.2019";"09:30";"106,20";"106,90";"106,20";"106,60";"6.811,00"
"18.03.2019";"09:25";"105,60";"106,45";"105,60";"106,10";"7.885,00"
"18.03.2019";"09:20";"106,00";"106,75";"105,50";"105,65";"14.291,00"
"18.03.2019";"09:15";"105,25";"106,80";"105,20";"106,00";"21.664,00"
"18.03.2019";"09:10";"106,80";"107,05";"105,05";"105,25";"22.700,00"
"18.03.2019";"09:05";"107,65";"107,80";"106,85";"106,85";"17.076,00"
"18.03.2019";"09:00";"107,10";"108,45";"106,55";"107,25";"67.640,00"
"15.03.2019";"17:35";"105,00";"105,00";"105,00";"105,00";"557.546,00"
"15.03.2019";"17:30";"104,30";"104,30";"104,25";"104,25";"1.274,00"
"15.03.2019";"17:25";"104,75";"104,90";"104,20";"104,35";"41.677,00"
"15.03.2019";"17:20";"104,80";"104,85";"104,55";"104,85";"13.672,00"
"15.03.2019";"17:15";"105,10";"105,10";"104,85";"104,85";"14.952,00"
"15.03.2019";"17:10";"104,95";"105,15";"104,95";"105,10";"9.257,00"
"15.03.2019";"17:05";"104,95";"105,10";"104,75";"105,00";"13.411,00"
"15.03.2019";"17:00";"104,90";"105,00";"104,85";"104,95";"8.545,00"
"15.03.2019";"16:55";"104,75";"105,00";"104,60";"104,90";"11.439,00"
"15.03.2019";"16:50";"105,15";"105,30";"104,50";"104,75";"14.195,00"
"15.03.2019";"16:45";"105,00";"105,30";"104,90";"105,20";"5.924,00"
"15.03.2019";"16:40";"104,70";"105,10";"104,55";"104,90";"8.608,00"
"15.03.2019";"16:35";"104,60";"104,95";"104,55";"104,80";"9.603,00"
"15.03.2019";"16:30";"105,40";"105,40";"104,40";"104,70";"35.640,00"
"15.03.2019";"16:25";"105,20";"105,35";"105,15";"105,35";"6.879,00"
"15.03.2019";"16:20";"105,35";"105,45";"105,15";"105,15";"14.769,00"
"15.03.2019";"16:15";"105,40";"105,40";"105,35";"105,40";"6.812,00"
"15.03.2019";"16:10";"105,10";"105,40";"105,10";"105,30";"5.210,00"
"15.03.2019";"16:05";"105,30";"105,35";"105,00";"105,10";"10.845,00"
"15.03.2019";"16:00";"105,35";"105,40";"105,20";"105,30";"9.955,00"
"15.03.2019";"15:55";"105,20";"105,35";"105,20";"105,35";"8.649,00"
"15.03.2019";"15:50";"105,10";"105,15";"105,00";"105,15";"6.105,00"
"15.03.2019";"15:45";"105,05";"105,20";"105,00";"105,15";"5.008,00"
"15.03.2019";"15:40";"105,25";"105,30";"105,00";"105,10";"6.319,00"
"15.03.2019";"15:35";"105,30";"105,35";"105,20";"105,35";"5.522,00"
"15.03.2019";"15:30";"104,75";"105,30";"104,75";"105,30";"14.519,00"
"15.03.2019";"15:25";"104,75";"104,95";"104,55";"104,75";"9.534,00"
"15.03.2019";"15:20";"104,75";"104,75";"104,60";"104,70";"5.632,00"
"15.03.2019";"15:15";"105,00";"105,05";"104,65";"104,70";"9.265,00"
"15.03.2019";"15:10";"105,15";"105,20";"105,00";"105,10";"6.202,00"
"15.03.2019";"15:05";"104,80";"105,25";"104,70";"105,10";"12.519,00"
"15.03.2019";"15:00";"105,05";"105,10";"104,75";"104,80";"7.846,00"
"15.03.2019";"14:55";"105,20";"105,25";"105,05";"105,15";"6.105,00"
"15.03.2019";"14:50";"105,00";"105,20";"105,00";"105,15";"8.314,00"
"15.03.2019";"14:45";"105,00";"105,20";"104,75";"105,00";"11.443,00"
